GLOBAL,CATEGORY,YEAR,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR
,,,Long-Term Government Bond Yield,,Description Long-Term Government Bond Yield,,0=[0xBD0026][87] 1=[0xF03B20][6.71] 2=[0xFD8D3C][4.82] 3=[0xFEB24C][3.79] 4=[0xFED976][1.00325],,,,,,,,,,,,,,,13525,8.02,,,,,,,12.2425,,,,,,,,,,,,,,,,12.71004,,,,,,,,,,,,,,,,,,,13.93,,,,,,,,,,,,,13.40417,,,,,,,,,,,,,,,,,,,8.65,,,,14.6125,,14.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.328333,,12.61,,,,,12.16,,9.25,,,,,,,,,21.5,,,,,,,,,,,,,,,,,,,,,,,15.22667,16.5225,,,,,12.28,4.552917,,,,,,,,,,,,,,,,,,11.1275,,12.43833,,,,,,,,,,,,,,,,,,,
,,,Total Gross Central Government Debt as a Percentage of GDP,,Description Total Gross Central Government Debt as a Percentage of GDP,,0=[0xBD0026][1200] 1=[0xF03B20][84] 2=[0xFD8D3C][55] 3=[0xFEB24C][35] 4=[0xFED976][21],,,,,,,76.0189633155987,,,,,54.6,,,19.5917207575986,35.4582749130186,,,,,,,89.8615396384221,,,,,,,,91.0666516425458,,,14.9,,,,,54.4890587256607,,,,,56.6228360178574,3.98004782769908,13.1732038417364,,,,114.526228291342,,,,,,,,72979,,,28.9140934966362,74.4875958357552,56.6838103051147,45.1317029105859,,,,,,14.3038229917515,29.0579398584327,,,,,32.368210824154,,40.5032480405033,,25.9168609597896,,,,,,110.483549261826,,,33.23,32.3653497017377,,,,101.604128267698,,72.5120078804597,,50.7174154233201,,,61.5759909685034,,,,,,,,,,,,,,,,75.0268472658705,,,,,,74.3941504178273,63.8039540167336,,,,,,,,,,,,64.5611322417887,,56.9683552545904,163.467705991723,,,,23.2228229480845,,,,,82.5364745510448,,31.0169293466214,46.5205148833467,36.9134758361123,,9.01268942689818,,,,,,,,,,,,,,,,,,66,,,,,32.1818487050111,17.7343610374894,84.3303716598485,,,,59.4438769870471,,,,30.648905885841,,,,,,,,36.6660424302809,,,,,,,47027,,39.9976086901219,87.1295616533705,,,,,,,,,,,,,,,,,,
,,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Exchange Rates to US Dollar,,Description Exchange Rates to US Dollar,,0=[0xBD0026][20000] 1=[0xF03B20][240] 2=[0xFD8D3C][40] 3=[0xFEB24C][7.740583] 4=[0xFED976][4],,,,,0.0505996079,7,4.788799999,,2.9918e-08,,2.7,1.0529957e-06,,,1.1100149992,17.96,,0.999999999,0.375999999,24.615425,2,,51.13,2,381.06603602,0.999999999,10.098898244,,,1.0969258325,2.097308e-10,,2.113049999,0.000956,381.06603602,92.948333333,4.2,381.06603602,1.2324166657,71.685833333,,,381.06603604,78.788333333,1.9756749992,78.8543,381.06767189,381.06603602,,41.094166666,,,0.85897,0.53,14.1625,,,9.1449916658,177721,2.7,0.999999999,0.999999999,0.7000007005,0.999999999,381.06603602,2.07,,,1.0170203323,5.57,7.62,381.06603602,2.6385746128,,,0.0008825228,,88.06,2.7,0.999999999,23.095183975,0.6476701282,2.999999999,4.999999999,,2,,42.671149999,24.842766666,10.098898244,,,0.3108573135,0.8,0.0562144917,1518.85,1.932217499,237.51166667,0.3630791657,,13.311516666,1.1100149992,0.2914766657,,,,4.5281666657,1.1140999998,0.999999999,,,,,,86.089833333,1.1747633324,2.3212499992,7.049999999,381.06603602,0.43,0.999999999,54.811666666,11.706199999,0.1200935833,0.999999999,,3.26,,,7.1113233323,0.0401833333,,1.1140999998,,14.545249999,2.85,,1.4967733323,2.9476668e-09,381.06603602,0.7244098512,,7.2963666657,0.345399999,13.116974999,0.999999999,,0.999999999,0.8361458323,126,1.6286342e-06,11.112716666,0.009155,110.78,3.639999999,,,0.00171785,,96.093935247,2.7,2.7,2.7,1.5491308331,,,3.4547591658,381.06603602,,6.7676416657,1.8853301635,2.113049999,,,1.1485583119,15.787658332,1.1140999998,143.43,23.528583332,,0.001785,1.1140999998,7.6671083323,2.0991416658,3.924999999,,23.000116042,,,381.06603602,,1.1100595099,2.399999999,0.6787666658,0.0002254571,,,,1.538625,,3.670999999,0.6597245823,,1,0.0343758333,,99.367661993,,,,1259,0.0010130833,,,,,,,0.999999999,,,,
,,,Long-Term Government Bond Yield,,Description Long-Term Government Bond Yield,,0=[0xBD0026][87] 1=[0xF03B20][6.71] 2=[0xFD8D3C][4.82] 3=[0xFEB24C][3.79] 4=[0xFED976][1.00325],,,,,,,,,,,,,,,13.8875,8.17,,,,,,,11.94083,,,,,,,,,,,,,,,,11.39858,,,,,,,,,,,,,,,,,,,14.46,,,,,,,,,,,,,14.36833,,,,,,,,,,,,,,,,,,,7.99,,,,13.90417,,18.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.610833,,12.1825,,,,,12.86,,9.31,,,,,,,,,19.22,,,,,,,,,,,,,,,,,,,,,,,12665,16.90917,,,,,12.3,4.174167,,,,,,,,,,,,,,,,,,11.26833,,11105,,,,,,,,,,,,,,,,,,,
,,,Total Gross Central Government Debt as a Percentage of GDP,,Description Total Gross Central Government Debt as a Percentage of GDP,,0=[0xBD0026][1200] 1=[0xF03B20][84] 2=[0xFD8D3C][55] 3=[0xFEB24C][35] 4=[0xFED976][21],,,,,,,68.8271216990214,,,,,64.2,,,17.1737616545007,32.9775287024216,,,,,,,84.3228794785888,,,,,,,,47.9224410061283,,,10.3,,,,,41.5410344542595,,,,,45.4959691409564,5.34798560217723,9.53896305058807,,,,135.980713611829,,,,,,,,70274,,,32.8861462377719,63.9391832619904,64.089842567363,43.973221454652,,,,,,13.786277649203,26.7217869016088,,,,,18.6749475651768,,33.9595881339596,,34.5825590198913,,,,,,109.002063698408,,,31517,31.4963702315633,,,,96.4919019844462,,67.5568158172464,,50.0488863165596,,,64.4548049839661,,,,,,,,,,,,,,,,76.144896499347,,,,,,72.8386742928779,74.531655939113,,,,,,,,,,,,60.4823938414893,,56.1243144424132,158.538157695337,,,,20.836349286882,,,,,86.5747460087083,,22.6227222211455,45.1515936771184,37.7894752531315,,12.7093018203936,,,,,,,,,,,,,,,,,,,,,,,32.4786621035022,12.9976399914182,81.4828825420844,,,,56.2608791500214,11.7064779955861,,,28.9204161954369,,,,,,,,24.9412877542365,,,,,,,46512,,38.9636734001019,75.8827477906261,,,,,,,45.1998097050428,,,,,,,,,,,
,,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Exchange Rates to US Dollar,,Description Exchange Rates to US Dollar,,0=[0xBD0026][20000] 1=[0xF03B20][240] 2=[0xFD8D3C][40] 3=[0xFEB24C][7.740583] 4=[0xFED976][4],,,,,0.0505996079,7,4.5921916657,,2.9918e-08,,2.7,2.5922533e-07,,,0.9858628323,17.06,,0.999999999,0.375999999,22.117883332,2,,45.69,2,328.6062527,0.999999999,9.4551319335,,,1.0296608325,6.524567e-11,,2.1400249992,0.000852,328.6062527,90,4,328.6062527,1.2337333327,58.293333332,,,328.60625274,50.908333333,1.8925416658,64.084716666,328.60766336,328.6062527,,37.406666666,,,0.85,0.48,13.7125,,,8.3324416662,177721,2.7,0.999999999,0.999999999,0.7000007005,0.999999999,328.6062527,2.07,,,0.9324486657,4.82,6.57,328.6062527,2.2895101797,,,0.0002748522,,66.8,2.7,0.999999999,22.366028524,0.6133241025,2.999999999,4.999999999,,2,,36.630549999,12.351533333,9.4551319335,,,0.298504548,0.7,0.024267,1352.51,1.781419999,249.07666667,0.3524916657,,10.922324999,0.9858628323,0.287910999,,,,4.7435333323,1.0858158331,0.999999999,,,,,,69.947166664,1.0555090824,2.3353916658,7.1736666657,328.6062527,0.41,0.999999999,51.769166667,10.87255,0.0564017,0.999999999,,3.27,,,6.023022499,0.03776975,,1.0858158331,,13.243833332,2.67,,1.3326083323,2.9474224e-09,328.6062527,0.6734612615,,6.4540333323,0.345399999,11.847466666,0.999999999,,0.999999999,0.7384583323,126,6.9756675e-07,8.5399999994,0.0084824167,79.47,3.639999999,,,0.0015,,93.059967439,2.7,2.7,2.7,1.2073324991,,,3.4281708324,328.6062527,,6.5525416657,1.2386504267,2.1400249992,,,0.9711043815,10.750349999,1.0858158331,109.86,20.812249999,,0.001785,1.0858158331,6.2826083323,2.0302749991,3.924999999,,23.000116042,,,328.6062527,,0.9859023646,2.399999999,0.590687499,0.0001625534,,,,0.9404666667,,3.670999999,0.5724468323,,1,0.0138533333,,96.2075,,,,0.92875,0.0007590833,,,,,,,0.999999999,,,,
,,,Long-Term Government Bond Yield,,Description Long-Term Government Bond Yield,,0=[0xBD0026][87] 1=[0xF03B20][6.71] 2=[0xFD8D3C][4.82] 3=[0xFEB24C][3.79] 4=[0xFED976][1.00325],,,,,,,,,,,,,,,15375,9.92,,,,,,,13.42833,,,,,,,,,,,,,,,,14.43533,,,,,,,,,,,,,,,,,,,20.39,,,,,,,,,,,,,15.9975,,,,,,,,,,,,,,,,,,,7.59,,,,17.0575,,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0975,,12.89333,,,,,13.2,,9.36,,,,,,,,,16.79,,,,,,,,,,,,,,,,,,,,,,,13.50833,15.9875,,,,,13.04,4.598333,,,,,,,,,,,,,,,,,,13085,,13.00167,,,,,,,,,,,,,,,,,,,
,,,Total Gross Central Government Debt as a Percentage of GDP,,Description Total Gross Central Government Debt as a Percentage of GDP,,0=[0xBD0026][1200] 1=[0xF03B20][84] 2=[0xFD8D3C][55] 3=[0xFEB24C][35] 4=[0xFED976][21],,,,,,,68.8741804757534,,,,,55.2,,,14.6922714700932,28.8423107310499,,,,,,,74.221631274506,,,,,,,,52.2651544314808,,,6.7,,,,,37.2735672973393,,,,,20.3138542159678,4.94433819914479,8.13510501983572,,,,143.803856212502,,,,,,,,58548,,,33.0834714479434,48.9652797381917,67.1426663699088,35.9658546936186,,,,,,12.2069645607323,25.3527605758474,,,,,24.950665695018,,29.6342415296342,,26.6758056646298,,,,,,99.8286550714655,,,29792,34.0315047268318,,,,87.2017320878793,,61.1873522837653,,48.6843539766019,,,58.3885654312033,,,,,,,,,,,,,,,,69.5891472986145,,,,,,68.1654584221748,79.3125592916731,,,,,,,,,,,,54.579321390834,,46.8607380362498,127.059726490697,,,,26.0019790322783,,,,,80.8602850126975,,21.2921667534541,27.8391230756831,27.3335719204104,,11.3785053042299,,,,,,,,,,,,,,,,,,57.0798898071625,,,,,31.7907513876644,11.583411507192,81.5725830830932,,,,49.4861500466945,11.9259262797396,,,27.1051468625234,,,,,,,,18.4933322554107,,,,,,,47558,,35.1049428255256,32.3946957023347,,,,,,,47.6928997498557,,,,,,,,,,,
,,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Exchange Rates to US Dollar,,Description Exchange Rates to US Dollar,,0=[0xBD0026][20000] 1=[0xF03B20][240] 2=[0xFD8D3C][40] 3=[0xFEB24C][7.740583] 4=[0xFED976][4],,,,,0.0494799022,7,4.3158083323,,2.9918e-08,,2.7,4.4026917e-08,,,0.8702145823,15.93,,0.999999999,0.375999999,17.986691666,2,,37.13,2,271.73145255,0.999999999,8.6585228171,,,0.8367383323,3.384685e-11,,2.112691666,0.000852,271.73145255,90,4,271.73145255,1.1989083326,48.694666666,,,271.73145257,39,1.7045333325,54.490549999,271.73261906,271.73145255,,21.763333333,,,0.83,0.42,13.25,,,7.1233666657,177721,2.7,0.999999999,0.999999999,0.7000007005,0.999999999,271.73145255,2.07,,,0.8546265823,4.32,5.43,271.73145255,1.9901702048,,,0.0002748522,,55.41,2.7,0.999999999,20.948117119,0.5744416267,2.812499999,4.999999999,,2,,34.314291666,7.2241833323,8.6585228171,,,0.2953136675,0.62,0.011430575,1136.76,1.781419999,220.53583333,0.3304333323,,9.0474983326,0.8702145823,0.2787853323,,,,4.313874999,0.8775283332,0.999999999,,,,,,54.346083326,0.8952990823,2.3041249992,7.549999999,271.73145255,0.39,0.999999999,48.295833333,8.9365416661,0.0245146,0.999999999,,3.2,,,5.1722958323,0.0353495,,0.8775789428,,12.336333333,2.5,,1.1527949993,2.9474224e-09,271.73145255,0.617708175,,5.7395083323,0.345399999,9.9,0.999999999,,0.999999999,0.672967499,126,4.22318e-07,7.8996499991,0.00511525,61.55,3.639999999,,,0.0015,,87.160305039,2.7,2.7,2.7,1.0340849991,,,3.3825083326,271.73145255,,6.314924999,1.1590984711,2.112691666,,,0.8701662882,6.294999999,0.8775789428,92.32,19.245749999,,0.001785,0.8764433333,5.0634416657,1.9642416659,3.924999999,,21.820443423,,,271.73145255,,0.8702494772,2.399999999,0.4938041657,0.0001112186,,,,0.5005233333,,3.670999999,0.4976413323,,1,0.0107933333,,87.825925926,,,,0.8695833333,0.0006901917,,,,,,,0.999999999,,,,
,,,Long-Term Government Bond Yield,,Description Long-Term Government Bond Yield,,0=[0xBD0026][87] 1=[0xF03B20][6.71] 2=[0xFD8D3C][4.82] 3=[0xFEB24C][3.79] 4=[0xFED976][1.00325],,,,,,,,,,,,,,,13.95833,10.61,,,,,,,13.43667,,,,,,,,,,,,,,,,14.98917,,,,,,,,,,,,,,,,,,,18.92,,,,,,,,,,,,,16.29167,,,,,,,,,,,,,,,,,,,7.15,,,,17.2675,,20.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5525,,12.8325,,,,,12.31,,9.4,,,,,,,,,16.71,,,,,,,,,,,,,,,,,,,,,,,12.9875,15.81167,,,,,13.49,5.57,,,,,,,,,,,,,,,,,,14.88333,,13.91083,,,,,,,,,,,,,,,,,,,
,,,Total Gross Central Government Debt as a Percentage of GDP,,Description Total Gross Central Government Debt as a Percentage of GDP,,0=[0xBD0026][1200] 1=[0xF03B20][84] 2=[0xFD8D3C][55] 3=[0xFEB24C][35] 4=[0xFED976][21],,,,,,,66.6669488487569,,,,,26.5,,,15.7950260097734,26.7622848590671,,,,,,,63.4976476518525,,,,,,,,53.7337599902032,,,3.9,,,,,34.2790404775974,,,,,14.0189474597911,,7.69955909977024,,,,158.346421378912,,,,,,,,45433,,,29.8366566211177,46.4236420611335,72.6734693877551,27.4457926697194,,,,,,10.0085947883503,21.995892501818,,,,,21.2817472354742,,28.7738879074996,,18.5851714597558,,,,,,56.1092392268133,,,23033,30.0331747621432,,,,89.752759749978,,56.5034870285234,,44.7704403869308,,,55.5521841336812,,,,,,,,,,,,,,,,56.0616856178293,,,,,,56.9321187187776,41.687897092109,,,,,,,,,,,,49.1681315745523,,43.3586018895403,106.602155008249,,,,29.8364590232993,,,,,76.5423052843926,,17.3559680078739,24.2857715270265,23.7931916646543,,10.0854683773665,,,,,,,,,,,,,,,,,,63.979685742527,,,,,30.5660664040518,10.3996583828247,77.4989706487854,,,,43.0416852995354,12.4873492024937,,,24.3698136093962,,,,,,,,20.024513535732,,,,,,,49252,,31.9129781246002,16.6840999864922,,,,,,,47.2794946988495,,,,,,,,,,,
,,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Exchange Rates to US Dollar,,Description Exchange Rates to US Dollar,,0=[0xBD0026][20000] 1=[0xF03B20][240] 2=[0xFD8D3C][40] 3=[0xFEB24C][7.740583] 4=[0xFED976][4],,,,,0.0441291667,7,3.837449999,,2.9918e-08,,2.7,1.8371583e-08,,,0.8782443323,12.94,,0.999999999,0.3770002347,15.454058333,2,,29.24,2,211.27955541,0.999999999,7.8629447011,,,0.777224999,1.915938e-11,,2.1412083326,0.000852,211.27955541,90,4,211.27955541,1.169216666,40.174916666,,,211.27955541,39,1.498399999,47.280308332,211.28046241,211.27955541,,8.5699999991,,,0.72,0.35,14265,,,5.6359416657,177721,2.7,0.999999999,0.999999999,0.7000007005,0.999999999,211.27955541,2.07,,,0.8179646657,3.73,4.23,211.27955541,1.7209828365,,,0.0002748522,,42.62,2.7,0.999999999,18.968893042,0.5201671211,2.549999999,4.999999999,,2,,32.532283332,4.7976416659,7.8629447011,,,0.2953136675,0.49,0.0051242917,856.45,1.781419999,226.74083333,0.297924999,,7.420187499,0.8782443323,0.2702974157,,,,3.4361083323,0.7788337373,0.999999999,,,,,,42.255749991,0.8120956657,2.1768833324,7.549999999,211.27955541,0.35,0.999999999,45.914083333,7.6842916657,0.0229510083,0.999999999,,2.9,,,3.9366458323,0.03240025,,0.7788337373,,12,1.99,,1.0266799992,2.9474224e-09,211.27955541,0.5467808919,,4.939224999,0.345399999,9.9,0.999999999,,0.999999999,0.6709458323,126,2.8885525e-07,7.5114333323,0.0044216667,50.06,3.6569666657,,,0.0018,,86.063879888,2.7,2.7,2.7,0.9193066657,,,3.3267416657,211.27955541,,6.391949999,1.0497976491,2.1412083326,,,0.8298272371,6.294999999,0.7788337373,71.7,16.534416666,,0.001785,0.77879,4.229574999,1.6757083326,3.924999999,,20.476353308,,,211.27955541,,0.8782795492,2.399999999,0.4049541657,7.60381e-05,,,,0.07417,,3.707364999,0.430294999,,1,0.0090725,,68.292121212,,,,0.7886666667,0.0006445583,,,,,,,0.999999999,,,,
,,,Long-Term Government Bond Yield,,Description Long-Term Government Bond Yield,,0=[0xBD0026][87] 1=[0xF03B20][6.71] 2=[0xFD8D3C][4.82] 3=[0xFEB24C][3.79] 4=[0xFED976][1.00325],,,,,,,,,,,,,,,11.6475,9.24,,,,,,,11.9,,,,,,,,,,,,,,,,12.33833,,,,,,,,,,,,,,,,,,,17.66,,,,,,,,,,,,,13.78417,,,,,,,,,,,,,,,,,,,6.71,,,,15.3525,,16.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.20833,,13.28333,,,,,10.27,,11.2,,,,,,,,,16.68,,,,,,,,,,,,,,,,,,,,,,,10.08583,15.96083,,,,,11.74,4.7625,,,,,,,,,,,,,,,,,,13.91333,,11.46,,,,,,,,,,,,,,,,,,,
,,,Total Gross Central Government Debt as a Percentage of GDP,,Description Total Gross Central Government Debt as a Percentage of GDP,,0=[0xBD0026][1200] 1=[0xF03B20][84] 2=[0xFD8D3C][55] 3=[0xFEB24C][35] 4=[0xFED976][21],,,,,,,79.1465546625217,,,,,11.4,,,18.6740746406692,25.2011471361428,,,,,,,53.636745615781,,,,,,,,48.1633899758015,,,,,,,,34.0564267311301,,,,,17.3857120910637,,7.28807652303645,,,,62.2228281608501,,,,,,,,34973,,,15.2020148702249,42.4851864286804,65.2850678733032,20.592552688182,,,,,,9.21149681531929,20.8910517036664,,,,,25.0295195202203,,24.5926851540347,,10.8228306533391,,,,,,49.103663289166,,,25535,30.998507495607,,,,84.3512088879393,,53.5100574371668,,41.373795789763,,,55.1540202627417,,,,,,,,,,,,,,,,45.6713507616118,,,,,,50.180522019087,38.0812221812081,,,,,,102.599541098664,,,,,,45.4293175857173,,45.0078342618384,106.167011102784,,,,33.9700284081882,,,,,74.8909534682308,,17.3994607769765,29.2645136299811,20.8114609700963,,7.98859908920098,,,,,,,,,,,,,,,,,,64.7044757084213,,,,,33.1240220129956,9.75535382190701,78.3937348745622,,,,35.7707642749994,13.197977777177,,,22.1475452402273,,,,,,,,17.813793587315,,,,,,,46101,,32.5562569491769,15.8569975758342,,,,,,,53.4786399302528,,,,,,,,,,,
,,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Exchange Rates to US Dollar,,Description Exchange Rates to US Dollar,,0=[0xBD0026][20000] 1=[0xF03B20][240] 2=[0xFD8D3C][40] 3=[0xFEB24C][7.740583] 4=[0xFED976][4],,,,,0.0437307529,6.167123288,3.8532666657,,2.9918e-08,,2.7,1.3169667e-08,,,0.8946409157,13.37,,0.999999999,0.3816174993,15.551924999,2,,29.32,2,212.72164426,0.999999999,8.1257909464,,,0.8150066657,9.79346e-12,,2.1745583325,0.0013,212.72164426,90,4,212.72164426,1.1714249995,37.432999999,,,212.72164426,37.245833333,1.554999999,42.549774999,212.72255745,212.72164426,,8.569999999,,,0.73,0.35,,,,5.2609583323,177721,2.7,0.999999999,0.999999999,0.7000007005,0.999999999,212.72164426,2.07,,,0.835743249,3.9,4.25,212.72164426,1.8884157956,,,0.0002748522,,37.04,2.7,0.999999999,19.107013321,0.5239546709,2.549999999,4.999999999,,2,,35.577999999,3.5259999994,8.1257909464,,,0.2953136675,0.49,0.0025406369,830.86,1.7647783327,219.14,0.3003333323,,7.4753091657,0.8946409157,0.2763660823,,,,3.242749999,0.8420226019,0.999999999,,,,,,42.544166661,0.8168779157,2.1884416659,7.4885833323,212.72164426,0.36,0.999999999,45.8925,6.3081083323,0.0228053833,0.999999999,,2.97,,,3.8991341657,0.03,,0.8420226019,,12,2.01,,0.978502499,2.7882567e-09,212.72164426,0.604007374,,5.0640666657,0.345399999,9.9,0.999999999,,0.999999999,0.711757499,126,2.2471892e-07,7.377549999,0.004016,48.92,3.773324999,,,0.0018,,86.690706555,2.7,2.7,2.7,0.8261583323,,,3.3608366657,212.72164426,,6.332649999,1.0569725445,2.1745583325,,,0.8659643218,6.294999999,0.8420226019,67.12,15.571833333,,0.001785,0.8417980709,4.2870833323,1.6627249991,3.924999999,,20.418936352,,,212.72164426,,0.89467679,2.399999999,0.406462499,3.10775e-05,,,,0.0748283333,,3.8156758323,0.4721811657,,1,0.0078383333,,68.758249158,,,,0.7933333333,0.000679725,,,,,,,0.999999999,,,,
,,,Long-Term Government Bond Yield,,Description Long-Term Government Bond Yield,,0=[0xBD0026][87] 1=[0xF03B20][6.71] 2=[0xFD8D3C][4.82] 3=[0xFEB24C][3.79] 4=[0xFED976][1.00325],,,,,,,,,,,,,,,9.749166,7.96,,,,,,,9.693334,,,,,,,,,,,,,,,,10.17917,,,,,,,,,,,,,,,,,,,15.82,,,,,,,,,,,,,10.8475,,,,,,,,,,,,,,,,,,,6.45,,,,15065,,14.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8775,,11.97909,,,,,8.59,,9.75,,,,,,,,,16.68,,,,,,,,,,,,,,,,,,,,,,,9.26,,,,,,10.47,3.4525,,,,,,,,,,,,,,,,,,12.94583,,9.4425,,,,,,,,,,,,,,,,,,,
,,,Total Gross Central Government Debt as a Percentage of GDP,,Description Total Gross Central Government Debt as a Percentage of GDP,,0=[0xBD0026][1200] 1=[0xF03B20][84] 2=[0xFD8D3C][55] 3=[0xFEB24C][35] 4=[0xFED976][21],,,,,,,91.5259587669413,,,,,12.4,,,20.8721951141215,23.5881780132418,,,,,,,49.2330830879334,,,,,,,,30.7744805318456,,,,,,,,37.2846261090464,,,,,23.2307123696642,,7.19699732708956,,,,37.9837497108489,,,,,,,,26.3138333333333,,,23.9543173055939,41.8699630516173,83.6397577234469,20.0338864220612,,,,,,8.97594620225117,21.0392580358277,,,,,31.5176103748848,,23.133294864397,,,,,,,,,,,21.0672388303798,32.3897303158558,,,,82.6061823417961,,55.0488462926919,,39.5545870289691,,,,,,,,,,,,,,,,,,,43.262105807341,,,,,,41.3180628272251,23.7357401371659,,,,,,92.2356544165055,,,,,,42.9160299752819,,44.5263955544329,103.61618317966,,,,38.6085296516063,,,,,,,19.68796081361,,17.0173253103984,,6.3095770275904,,,,,,,,,,,,,,,,,,66.3889294937387,,,,,39.7302280870401,9.71042465193086,68.7995113291465,,,,29.2704091080624,14.1316345517046,,,23.6930113212409,,,,,,,,19.8787061994609,,,,,,,44.01,,32.2581765670127,16.0256488569756,,,,,,,52.4025513819986,,,,,,,,,,,
,,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
